LSM_01	SRM_115	SBL_100	VISMINFL	VISMIN_C	ED_05	REP_20	VBR_10	CXRFLAG	CHH001_C	MARSTAT	WGHT_PER	SCF_101	SCF100_C
0	4	2	2	10	4	2	1	1	0	1	2331.727	6	2
7	2	1	1	6	7	2	1	2	0	6	10	6	4
6	3	3	2	10	4	2	1	2	0	6	2647.747	6	3
8	2	1	1	1	5	2	1	1	2	1	2861.445	6	8
7	4	5	2	10	4	2	1	1	0	1	2682.0337	6	2
8	2	2	2	10	4	2	1	1	0	1	11.1148	6	2
8	2	1	1	5	4	2	2	1	3	1	10	6	2
10	1	2	1	7	5	2	2	2	0	6	10	1	1
99	9	9	9	99	4	2	2	2	0	1	10	6	0
5	4	3	1	6	7	2	1	2	0	6	10	6	2
7	2	4	1	8	2	2	1	1	2	1	10	6	0
5	1	4	2	10	2	2	1	2	0	1	10	6	2
5	4	5	2	10	3	2	1	2	0	5	1234.9063	6	2
6	3	2	2	10	2	2	1	2	0	5	10	1	1
10	1	1	9	99	5	2	2	2	0	1	412.1419	2	1
8	1	2	1	8	2	2	1	2	0	5	10	2	1
6	3	3	1	8	5	2	1	2	0	2	10	6	6
6	3	2	2	10	6	2	1	2	0	1	1084.74	2	1
99	9	1	1	3	7	2	1	1	2	1	2037.7018	6	11
99	9	9	9	99	2	2	1	2	0	4	10	1	1
8	2	2	2	10	2	2	9	1	2	2	1629.7803	6	0
9	2	1	1	1	6	2	9	1	2	1	10	6	6
4	5	2	2	10	2	2	1	2	0	6	1416.4053	6	6
8	3	5	2	10	2	2	2	2	0	6	7014.4878	6	10
9	3	2	1	8	6	2	1	2	0	5	10	6	3
7	3	1	1	5	2	2	2	1	2	1	16.8025	6	2
5	3	2	2	10	4	2	1	2	0	1	1176.3263	6	2
99	9	9	9	99	99	2	1	2	0	1	13.3443	6	6
9	1	2	2	10	6	2	1	2	0	1	109.8053	6	8
99	9	9	1	8	7	2	1	2	0	1	27.5277	6	0
99	1	2	2	10	5	2	9	2	0	6	712.1003	6	4
8	2	2	2	10	5	2	1	1	1	1	269.7127	6	6
1	3	1	2	10	3	2	2	2	0	2	2010.8297	2	1
7	2	5	2	10	2	2	1	2	0	6	1593.3935	6	3
7	2	2	2	10	3	2	1	2	0	6	10	6	10
6	3	1	2	10	1	2	1	2	0	3	2640.5854	1	1
8	2	2	2	10	3	2	9	2	0	1	1075.7209	6	999
99	9	9	9	99	2	2	2	2	0	6	10	6	0
8	2	1	2	10	1	2	1	2	0	3	930.823	6	6
8	3	2	2	10	2	2	1	1	1	2	1182.9983	6	5
6	5	1	2	10	99	2	2	2	2	6	959.4407	6	5
6	3	3	2	10	6	2	1	1	1	1	10	6	0
7	3	1	2	10	7	2	2	2	0	6	928.7033	6	0
8	1	2	2	10	4	2	1	2	0	1	1828.3869	1	1
99	9	9	9	99	99	2	1	1	0	1	327.568	6	10
8	1	3	1	7	7	2	1	2	0	5	827.6239	6	10
7	4	1	1	2	2	2	2	2	0	6	17.8897	6	8
9	1	1	1	9	2	2	1	1	1	1	38.2103	6	2
10	2	2	1	7	7	2	2	1	0	1	10	6	4
10	1	1	2	10	99	2	1	2	0	1	1655.4571	6	6
10	1	1	1	6	4	2	2	2	0	6	10	1	1
7	3	1	2	10	5	2	1	2	0	1	294.9003	6	5
9	2	1	2	10	2	2	2	2	0	3	218.4958	6	2
5	2	2	2	10	4	2	1	1	0	1	809.3942	1	1
7	3	1	1	8	1	2	2	2	0	5	10	6	0
6	3	9	2	10	5	2	9	2	0	3	527.702	6	2
7	2	3	9	99	2	2	1	2	0	6	10	6	0
7	5	1	2	10	2	2	1	2	0	1	1278.8642	6	3
2	5	4	1	8	1	2	6	2	0	6	62.8302	6	10
99	9	1	2	10	6	2	1	2	0	6	569.3306	6	3
6	2	4	2	10	2	2	1	2	0	2	1912.3892	6	2
7	2	2	2	10	7	2	1	1	1	2	1970.4817	6	4
9	2	2	1	7	4	2	1	1	0	1	18.6723	6	2
8	4	1	1	7	3	2	1	2	0	1	10	6	3
8	2	2	1	1	6	2	1	2	0	6	28.7626	6	6
8	1	2	1	7	6	2	1	2	0	2	10	6	5
7	2	2	2	10	3	2	1	1	2	1	659.2323	6	2
7	1	2	2	10	6	2	1	2	0	1	1326.4437	6	10
6	2	3	2	10	6	2	1	2	0	4	19.9876	6	6
9	3	5	2	10	4	2	2	1	1	1	5382.1469	6	6
7	1	2	1	3	6	2	1	1	3	1	3027.2096	6	10
9	2	2	2	10	2	2	9	2	0	1	1533.477	1	1
0	1	2	2	10	7	2	1	1	2	1	1897.9719	6	10
7	1	2	1	5	7	2	2	1	2	1	2630.1585	6	3
8	2	2	1	5	7	2	1	2	0	5	10	6	6
6	2	1	1	5	2	2	1	1	1	1	11.855	6	0
10	1	2	1	5	2	2	1	2	0	6	10	6	5
7	2	2	1	1	7	2	1	2	0	6	14.0916	6	12
3	5	5	2	10	5	2	1	2	0	6	683.3779	6	2
6	3	2	1	5	7	2	2	2	0	6	11.4612	6	4
7	2	1	2	10	7	2	2	1	1	5	10	6	2
8	2	2	2	10	6	2	2	2	0	6	985.9502	1	1
1	5	4	9	99	1	2	2	2	0	6	15.4573	6	0
8	2	2	2	10	5	2	1	2	0	3	10	6	6
9	1	3	2	10	4	2	1	2	0	3	10	6	0
9	2	2	1	8	7	2	9	2	0	1	10	6	2
10	1	2	2	10	3	2	1	1	1	1	951.3881	6	3
4	4	2	1	2	1	2	1	2	0	1	10	1	1
7	2	2	2	10	7	2	1	2	0	5	1643.1825	6	0
9	2	3	1	7	4	2	1	1	2	1	10	6	0
10	2	5	1	8	3	2	1	2	0	6	10	6	0
6	3	4	2	10	4	2	1	1	1	1	656.8461	6	6
10	1	1	2	10	2	2	1	2	0	3	10	6	5
6	4	2	2	10	2	2	1	2	0	3	716.7545	6	4
9	2	2	2	10	2	2	1	1	0	1	3086.0145	6	4
8	2	2	2	10	6	2	1	2	0	2	2829.9178	6	7
1	5	2	1	3	1	2	1	2	0	6	24.1241	1	1
10	2	1	2	10	6	2	1	2	0	5	1024.5517	6	10
10	1	1	2	10	2	2	1	2	0	1	10	6	4
8	3	2	1	8	2	2	2	2	0	6	45.7461	6	6
99	9	2	1	7	6	2	2	2	0	5	10	1	1
7	1	2	9	99	6	2	2	1	3	1	22.5056	6	2
9	1	2	9	99	2	2	1	2	0	1	1246.0218	6	4
8	3	3	2	10	4	2	1	1	0	5	2675.4494	6	4
7	2	2	1	2	7	2	1	1	0	1	1757.1724	6	4
7	2	2	1	8	7	2	1	2	0	6	10	6	2
8	3	2	9	99	3	2	1	2	0	6	10.0714	6	6
5	1	1	1	1	3	1	1	1	0	1	10	6	10
7	2	2	1	5	1	2	6	2	2	6	26.5599	6	2
7	2	3	2	10	4	2	1	1	0	1	2816.2692	6	5
7	3	2	1	6	1	2	2	1	3	2	23.048	6	2
1	2	3	1	6	6	2	2	2	0	2	10	6	2
9	2	3	2	10	7	2	1	1	0	1	1554.5123	6	4
7	3	1	2	10	3	2	1	1	2	1	2042.6413	6	2
7	2	2	1	2	6	2	1	2	0	6	493.4745	6	8
9	1	2	1	2	3	2	1	1	0	1	10	1	1
7	2	2	2	10	1	2	1	2	0	3	1905.5655	1	1
8	2	2	2	10	2	2	1	2	0	6	166.7537	1	1
6	3	4	2	10	1	2	6	2	1	6	6210.7676	6	10
7	2	3	2	10	6	2	1	2	0	6	2380.2678	6	5
7	2	2	2	10	4	2	2	2	0	5	327.9497	6	3
7	3	1	2	10	4	2	1	1	2	2	240.9621	6	3
6	3	1	2	10	2	2	1	1	1	2	3887.2594	6	0
8	4	1	2	10	5	2	2	2	0	3	290.6315	6	2
99	9	9	9	99	6	2	1	1	3	1	10	6	2
